3,3,3,4,5,6,8,10
3,3,3,3,4,5,6,8
3,3,3,3,3,4,5,7
4,3,3,3,3,3,3,5
5,4,3,3,3,3,3,5
6,5,4,3,3,3,3,3
8,6,5,3,3,3,3,3
10,8,7,5,5,3,3,3
