1,SHMW01A|SHMW01B|SHMW02A|SHMW02B|SHMW02C|SHMW02D|SHMW03A|SHMW03B|SHMW04A|SHMW04B|SHMW05A|SHMW05B|SHMW06A|SHMW06B|SHMW07A|SHMW07B|SHMW08A|SHMW08B|SHMW09A|SHMW09B|SHMW10A|SHMW10B|SHMW10C|SHMW10D|SHMW11A|SHMW11B|SHMW11C|SHMW11D|SHMW12A|SHMW12B|SHMW13A|SHMW13B|SHMW16A|SHMW16B,,fare1.csv,SHMS001|SHMS002|SHMS003|SHMS004|SHMS005|SHMS006|SHMS007|SHMS008|SHMS009|SHMS010|SHMS011|SHMS012|SHMS013|SHMS014|SHMS015|SHMS016|SHMS017|SHMS018|SHMS019|SHMS020|SHMS021|SHMS022|SHMS023|SHMS024|SHMS025|SHMS026|SHMS027|SHMS028|SHMS029|SHMS030|SHMS031|SHMS032|SHMS033|SHMS034|SHMS035|SHMS036|SHMS037|SHMS038|SHMS039|SHMS013|SHMS040|SHMS041|SHMS042|SHMS043|SHMS044|SHMS045|SHMS046|SHMS047|SHMS048|SHMS049|SHMS050|SHMS051|SHMS052|SHMS053|SHMS054|SHMS055|SHMS056|SHMS057|SHMS005|SHMS058|SHMS059|SHMS060|SHMS061|SHMS062|SHMS063|SHMS036|SHMS064|SHMS065|SHMS066|SHMS067|SHMS016|SHMS068|SHMS069|SHMS070|SHMS071|SHMS072|SHMS073|SHMS074|SHMS075|SHMS076|SHMS077|SHMS078|SHMS079|SHMS080|SHMS081|SHMS082|SHMS083|SHMS007|SHMS061|SHMS062|SHMS063|SHMS036|SHMS064|SHMS065|SHMS066|SHMS067|SHMS016|SHMS068|SHMS097|SHMS096|SHMS095|SHMS094|SHMS093|SHMS043|SHMS092|SHMS091|SHMS090|SHMS089|SHMS088|SHMS087|SHMS086|SHMS085|SHMS084|SHMS001|SHMS098|SHMS099|SHMS100|SHMS101|SHMS102|SHMS103|SHMS104|SHMS105|SHMS106|SHMS107|SHMS133|SHMS132|SHMS131|SHMS130|SHMS129|SHMS128|SHMS127|SHMS126|SHMS125|SHMS091|SHMS124|SHMS043|SHMS123|SHMS122|SHMS121|SHMS120|SHMS119|SHMS118|SHMS117|SHMS116|SHMS115|SHMS114|SHMS113|SHMS112|SHMS111|SHMS110|SHMS109|SHMS108|SHMS159|SHMS158|SHMS157|SHMS156|SHMS155|SHMS331|SHMS154|SHMS153|SHMS152|SHMS151|SHMS150|SHMS149|SHMS148|SHMS147|SHMS146|SHMS066|SHMS145|SHMS144|SHMS038|SHMS010|SHMS143|SHMS085|SHMS142|SHMS141|SHMS140|SHMS139|SHMS138|SHMS127|SHMS137|SHMS136|SHMS135|SHMS046|SHMS134|SHMS160|SHMS161|SHMS162|SHMS163|SHMS164|SHMS165|SHMS133|SHMS166|SHMS167|SHMS139|SHMS168|SHMS088|SHMS169|SHMS170|SHMS171|SHMS013|SHMS172|SHMS173|SHMS174|SHMS070|SHMS175|SHMS176|SHMS177|SHMS178|SHMS179|SHMS180|SHMS181|SHMS182|SHMS183|SHMS184|SHMS205|SHMS204|SHMS203|SHMS202|SHMS201|SHMS200|SHMS199|SHMS198|SHMS197|SHMS196|SHMS195|SHMS194|SHMS193|SHMS192|SHMS191|SHMS061|SHMS008|SHMS143|SHMS190|SHMS189|SHMS188|SHMS169|SHMS187|SHMS186|SHMS043|SHMS185|SHMS226|SHMS225|SHMS224|SHMS030|SHMS031|SHMS228|SHMS227|SHMS223|SHMS222|SHMS221|SHMS220|SHMS062|SHMS219|SHMS218|SHMS011|SHMS217|SHMS170|SHMS216|SHMS040|SHMS215|SHMS214|SHMS097|SHMS213|SHMS176|SHMS212|SHMS211|SHMS210|SHMS209|SHMS208|SHMS207|SHMS206|SHMS258|SHMS257|SHMS256|SHMS255|SHMS254|SHMS253|SHMS252|SHMS251|SHMS250|SHMS249|SHMS248|SHMS247|SHMS246|SHMS245|SHMS244|SHMS243|SHMS242|SHMS241|SHMS240|SHMS239|SHMS065|SHMS238|SHMS037|SHMS219|SHMS008|SHMS237|SHMS236|SHMS235|SHMS234|SHMS133|SHMS233|SHMS232|SHMS231|SHMS230|SHMS229|SHMS172|SHMS215|SHMS259|SHMS260|SHMS095|SHMS261|SHMS262|SHMS263|SHMS264|SHMS265|SHMS266|SHMS115|SHMS267|SHMS268|SHMS269|SHMS270|SHMS271|SHMS272|SHMS273|SHMS274|SHMS275|SHMS064|SHMS229|SHMS276|SHMS277|SHMS278|SHMS279|SHMS280|SHMS281|SHMS282|SHMS283|SHMS284|SHMS285
2,SHMW22A|SHMW22B|SHMW22C|SHMW22D|SHMW22E|SHMW22F,,fare2.csv,SHMS005|SHMS286|SHMS287|SHMS288|SHMS289|SHMS290|SHMS291|SHMS292
3,SHMWCFA|SHMWCFB,50,,
4,SHMWZJA|SHMWZJB,2,,
5,SHWW01A|SHWW01B,0,,
