SHMW22A,SH,MW,普通--金山卫方向,普通--金山衛方向,普通--金山衛行,Local : To Jinshanwei,,,0,0,0,0,,,
SHMW22B,SH,MW,普通--上海南站方向,普通--上海南站方向,普通--上海南駅行,Local : To Shanghai South Railway Station,,,0,0,0,0,,,
SHMW22C,SH,MW,快速--金山卫方向,快速--金山衛方向,快速--金山衛行,Rapid : To Jinshanwei,,,0,0,0,0,,,
SHMW22D,SH,MW,快速--上海南站方向,快速--上海南站方向,快速--上海南駅行,Rapid : To Shanghai South Railway Station,,,0,0,0,0,,,
SHMW22E,SH,MW,直达--金山卫方向,直達--金山衛方向,急行--金山衛行,Express : To Jinshanwei,,,0,0,0,0,,,
SHMW22F,SH,MW,直达--上海南站方向,直達--上海南站方向,急行--上海南駅行,Express : To Shanghai South Railway Station,,,0,0,0,0,,,
SHMWCFA,SH,MW,浦东国际机场方向,浦東國際機場方向,浦東国際空港行,To Pudong International Airport,,,0,0,0,0,,,
SHMWCFB,SH,MW,龙阳路方向,龍陽路方向,竜陽路行,To Longyang Road,,,0,0,0,0,,,
SHMWZJA,SH,MW,张东路金秋路方向,張東路金秋路方向,張東路金秋路行,To Zhangdong Road Jinqiu Road,,,0,0,0,0,,,
SHMWZJB,SH,MW,张江地铁站方向,張江地鐵站方向,張江地下鉄駅行,To Zhangjiang Subway Station,,,0,0,0,0,,,
SHWW01A,SH,WW,,,,,,,0,0,0,0,,,
SHWW01B,SH,WW,,,,,,,0,0,0,0,,,
SHMS001,SH,MS,莘庄,莘莊,シン荘,Xinzhuang,xinzhuang,xz,31.111452,121.385058,795,2487,莘庄站,シン荘駅,Xinzhuang_Station_(Shanghai_Metro)
SHMS002,SH,MS,外环路,外環路,外環路,Waihuan Road,waihuanlu,whl,31.120557,121.392862,835,2404,外环路站,外環路駅,Waihuanlu_Station
SHMS003,SH,MS,莲花路,蓮花路,蓮花路,Lianhua Road,lianhualu,lhl,31.131071,121.402673,897,2341,莲花路站,蓮花路駅,Lianhua_Road_Station
SHMS004,SH,MS,锦江乐园,錦江樂園,錦江楽園,Jinjiang Park,jinjiangleyuan,jjly,31.142088,121.413824,959,2279,锦江乐园站,錦江楽園駅,Jinjiang_Park_Station
SHMS005,SH,MS,上海南站,上海南站,上海南駅,Shanghai South Railway Station,shanghainanzhan,shnz,31.1546562,121.4302683,997,2208,上海南站站,上海南駅駅,Shanghai_South_Railway_Station_(Metro)
SHMS006,SH,MS,漕宝路,漕寶路,漕宝路,Caobao Road,caobaolu,cbl,31.168237,121.434977,997,2088,漕宝路站,漕宝路駅,Caobao_Road_Station
SHMS007,SH,MS,上海体育馆,上海體育館,上海体育館,Shanghai Indoor Stadium,shanghaitiyuguan,shtyg,31.182887,121.437468,1137,1897,上海体育馆站,上海体育館駅,Shanghai_Indoor_Stadium_Station
SHMS008,SH,MS,徐家汇,徐家匯,徐家匯,Xujiahui,xujiahui,xjh,31.195352,121.436786,1236,1791,徐家汇站,徐家匯駅,Xujiahui_Station
SHMS009,SH,MS,衡山路,衡山路,衡山路,Hengshan Road,hengshanlu,hsl,31.204827,121.446573,1313,1722,衡山路站,衡山路駅,Hengshan_Road_Station
SHMS010,SH,MS,常熟路,常熟路,常熟路,Changshu Road,changshulu,csl,31.213405,121.451077,1413,1622,常熟路站,常熟路駅,Changshu_Road_Station
SHMS011,SH,MS,陕西南路,陝西南路,陝西南路,South Shaanxi Road,shanxinnanlu,sxnl,31.2151,121.458225,1549,1633,陕西南路站,陝西南路駅,South_Shaanxi_Road_Station
SHMS012,SH,MS,黄陂南路,黃陂南路,黄陂南路,South Huangpi Road,huangpinanlu,hpnl,31.222729,121.473292,1723,1622,黄陂南路站,黄陂南路駅,South_Huangpi_Road_Station
SHMS013,SH,MS,人民广场,人民廣場,人民広場,People's Square,renminguangchang,rmgc,31.232844,121.47537,1850,1469,人民广场站_(上海市),人民広場駅,People's_Square_Station
